244,AdminLocFailure
245,BackupLocFailure
246,igmpGroupOnSapDropped
247,licenseMismatch
252,MissingHopConfiguration
253,LastHopNotMatchingDestination
254,LabelActionIsNotPopOnLastHop
256,noAuxiliaryServersAvailable
257,ftpClientFailure
258,DataMtReused
259,PppLoopbackDetected
260,radiusAccountingRequestFailure
261,ruleContentsError
262,ruleErrorOrRuleEngineError
263,unableToCreateTunnelElement
264,tunnelElementInUse
265,igmpGroupOnSdpBindDropped
266,pimGroupOnSapDropped
271,manyExternalLSAsFloodingIntoIGP
272,isisSystemNotAdvertisingTeRouterId
273,routerAdvertisingManyLSAs
274,configConflictOrResourceFull
275,MsdpRPFFailure
276,largeIGPNetwork
277,MsdpGroupActiveSourcesLimitExceeded
278,MsdpPeerActiveSourcesLimitExceeded
279,MsdpActiveSourcesLimitExceeded
280,MsdpSourceActiveSourcesLimitExceeded
281,persistOff
282,noSystemAddress
283,cpamLicensedLimitNearing
284,cpamLicensedLimitNearlyExceeded
285,cpamLicensedLimitExceeded
287,tooManyCpaaPerOspfArea
288,tooManyCpaaForIsisLevel2
290,sapDHCPLeaseEntriesExceeded
291,UnableProxyDHCPRequest
292,igmpSnpgGrpMaxNbrGrpsReached
293,timedcpamLicenseExpiryNotice
294,ProtectedSourceMacLearned
295,mcLagDown
297,maximumExceededMessages
298,managedRouteCouldNotBeSetup
299,ipPathCouldNotBeDetermined
300,cliCommandFailure
301,DaughterCardConfigNotCompatible
302,preserveKeyFailure
303,sonetSDHLoopback
304,ds3e3Loopback
305,ds1e1Loopback
306,snmpDown
307,trapRateGreaterThanConfigured
308,ipAddressListMismatch
309,instanceIdMismatch
310,remoteSapMismatch
311,remoteSyncTagMismatch
312,redundantIfNotProperlyPaired
313,dualMaster
314,keyChainAuthFailure
315,linkDown
318,ForceSwitchover
319,strayPackets
320,malformedPackets
321,lossOfPacket
322,bufferOverrun
323,farEndLossOfPacket
324,tdmFarEndFault
325,farEndRdi
326,equipmentAdministrativelyDown
327,containingEquipmentMissing
328,containingEquipmentMismatch
329,containingEquipmentDown
330,containingEquipmentAdministrativelyDown
331,spanningTreeTopologyChanged
332,customerDeviceMisconfigured
333,tunnelAdministrativelyDown
334,CpeUnreachable
336,multipleSecurityViolations
337,tooManyCheckpoints
338,configuredASNotMatchBgpASAdminDomain
344,timeMismatch
345,bfdSessionMissing
346,bfdSessionDown
347,CommunityMisconfiguration
348,macAddressPinned
349,HighStatisticsCollectionRate
350,pimSnpgSGGroupMaxSupportedLimitExceeded
351,dryContactExternalAlarmRaised
352,noAvailableSlotNumbers
353,backgroundDiagnosticFault
354,duplicateSlotNINumber
355,stackNotInLoop
356,twoElementsWithSameRole
357,elementNotCompatibleWithExistingStack
358,temperatureLowWarning
359,temperatureLowAlarm
360,temperatureHighWarning
361,temperatureHighAlarm
362,supplyVoltageLowWarning
363,supplyVoltageLowAlarm
364,supplyVoltageHighWarning
365,supplyVoltageHighAlarm
366,txBiasCurrentLowWarning
367,txBiasCurrentLowAlarm
368,txBiasCurrentHighWarning
369,txBiasCurrentHighAlarm
370,txOutputPowerLowWarning
