Router,Host,Index,Transporte(Gbps),Status,device_index
cAGREGADORVillaSalvador2,10.235.6.122,9,10,-,cAGREGADORVillaSalvador29
cAGREGADORVillaSalvador2,10.235.6.122,11,10,-,cAGREGADORVillaSalvador211
cAGREGADORVillaSalvador2,10.235.6.122,24,10,-,cAGREGADORVillaSalvador224
cAGREGADORVillaSalvador2,10.235.6.122,25,10,-,cAGREGADORVillaSalvador225
cAGREGADORVillaSalvador2,10.235.6.122,26,10,-,cAGREGADORVillaSalvador226
cAGREGADORVillaSalvador2,10.235.6.122,28,10,-,cAGREGADORVillaSalvador228
cAGREGADORVillaSalvador2,10.235.6.122,77,10,-,cAGREGADORVillaSalvador277
cAGREGADORVillaSalvador2,10.235.6.122,78,10,-,cAGREGADORVillaSalvador278
ceAGREGADORPolo1_1,10.235.192.52,110,1,-,ceAGREGADORPolo1_1110
ceAGREGADORPolo1_1,10.235.192.52,111,1,-,ceAGREGADORPolo1_1111
ceAGREGADORPolo1_1,10.235.192.52,112,1,-,ceAGREGADORPolo1_1112
ceAGREGADORPolo1_1,10.235.192.52,164,10,-,ceAGREGADORPolo1_1164
ceAGREGADORPolo1_1,10.235.192.52,165,10,-,ceAGREGADORPolo1_1165
ceAGREGADORPolo1_1,10.235.192.52,166,10,-,ceAGREGADORPolo1_1166
ceAGREGADORPolo1_1,10.235.192.52,167,10,-,ceAGREGADORPolo1_1167
ceAGREGADORPolo1_1,10.235.192.52,168,10,-,ceAGREGADORPolo1_1168
ceAGREGADORPolo1_1,10.235.192.52,169,10,-,ceAGREGADORPolo1_1169
ceAGREGADORPolo1_1,10.235.192.52,170,10,-,ceAGREGADORPolo1_1170
ceAGREGADORPolo1_1,10.235.192.52,171,10,-,ceAGREGADORPolo1_1171
ceAGREGADORPolo1_1,10.235.192.52,172,10,-,ceAGREGADORPolo1_1172
ceAGREGADORPolo1_1,10.235.192.52,174,10,-,ceAGREGADORPolo1_1174
ceAGREGADORPolo1_1,10.235.192.52,175,10,-,ceAGREGADORPolo1_1175
ceAGREGADORPolo1_1,10.235.192.52,176,10,-,ceAGREGADORPolo1_1176
ceAGREGADORPolo1_1,10.235.192.52,177,10,-,ceAGREGADORPolo1_1177
ceAGREGADORPolo1_1,10.235.192.52,178,10,-,ceAGREGADORPolo1_1178
ceAGREGADORPolo1_1,10.235.192.52,179,10,-,ceAGREGADORPolo1_1179
ceAGREGADORPolo1_1,10.235.192.52,180,10,-,ceAGREGADORPolo1_1180
ceAGREGADORPolo1_1,10.235.192.52,181,10,-,ceAGREGADORPolo1_1181
ceAGREGADORPolo1_1,10.235.192.52,182,10,-,ceAGREGADORPolo1_1182
ceAGREGADORPolo1_1,10.235.192.52,183,10,-,ceAGREGADORPolo1_1183
ceAGREGADORPolo1_1,10.235.192.52,184,10,-,ceAGREGADORPolo1_1184
ceAGREGADORPolo1_1,10.235.192.52,185,10,-,ceAGREGADORPolo1_1185
ceAGREGADORPolo1_2,10.235.192.53,106,1,-,ceAGREGADORPolo1_2106
