Equipo,Host
CJM-ATH-AN01,10.140.9.68
CJM-ATH-DN01,10.140.9.67
CJM-CJC-AN01,10.140.9.69
CJM-CJC-DN01,10.140.9.72
CJM-DAG-AN01,10.140.9.66
CJM-DAG-DN01,10.140.9.65
CJM-K24-AN01,10.140.9.74
CJM-SAP-AN01,10.140.9.70
CJM-SAP-DN01,10.140.9.73
cMETROAeropuerto3,10.235.125.71
cMETROAeropuerto4,10.235.125.72
cMETROLaCultura,10.235.232.162
cMETROLaCultura2,10.235.232.163
cMETROTrujillo2,10.235.202.250
cMPLSAeropuerto,10.253.4.12
cMPLSArriola,10.253.2.20
cMPLSAsia,10.253.6.25
cMPLSAviacion,10.253.2.13
cMPLSCallao,10.253.4.23
cMPLSCamacho,10.253.2.24
cMPLSChacarilla,10.253.2.2
cMPLSChinchon,10.253.8.1
cMPLSChorrillos,10.253.6.13
cMPLSColonial,10.253.0.37
cMPLSCotabambas,10.253.0.1
cMPLSElRosario,10.253.2.5
cMPLSHiguereta,10.253.2.1
cMPLSHuancayo,10.253.27.1
cMPLSHumboldt,10.253.2.4
cMPLSIngenieria,10.253.0.10
cMPLSInternetCP,10.253.6.2
cMPLSLaMolina,10.253.2.35
cMPLSLaPunta,10.253.4.30
cMPLSLosOlivos,10.253.0.28
cMPLSLosOlivos2,10.253.0.29
cMPLSMonterrico,10.253.2.19
cMPLSNuevoFelverana,10.253.2.26
cMPLSPando,10.253.4.29
cMPLSPardoyAliaga,10.253.6.4
cMPLSPlayaReal,10.253.6.5
cMPLSPuntaHermosa,10.253.6.26
cMPLSRafaelEscardo,10.253.4.28
cMPLSRicardoPalma,10.253.2.3
cMPLSSaladium,10.253.8.2
cMPLSSanFelipe,10.253.4.1
cMPLSSanJuan,10.253.6.18
cMPLSSanLuis,10.253.2.14
cMPLSSanLuis2,10.253.2.21
cMPLSSanMiguel,10.253.4.27
cMPLSSantaAnita,10.253.2.40
cMPLSSantaLuzmila,10.253.0.19
cMPLSShellCollique,10.253.0.20
cMPLSVallejo,10.253.2.25
cMPLSVillaSalvador,10.253.6.23
cMPLSZarate,10.253.2.45
CORE1,10.120.14.209
CORE2,10.120.14.210
CUZ-CCN-AN01,10.140.9.226
CUZ-CCN-DN01,10.140.9.225
CUZ-CTR-AN01,10.140.9.228
CUZ-CTR-AN02,10.140.9.241
CUZ-CTR-DN01,10.140.9.227
CUZ-HYN-AN01,10.140.9.242
CUZ-LCT-AN01,10.140.9.229
CUZ-LCT-DN01,10.140.9.235
CUZ-MRD-AN01,10.140.9.230
CUZ-MRD-DN01,10.140.9.237
CUZ-PDI-DN01,10.140.9.238
CUZ-SAC-AN01,10.140.9.232
eLANDCPolo1-10-11,172.19.213.44
eLANDCPolo1-1-2,172.19.213.40
eLANDCPolo1-12-13,172.19.213.50
eLANDCPolo1-14-15,172.19.213.51
eLANDCPolo1-16-17,172.19.213.52
eLANDCPolo1-18-19,172.19.213.53
eLANDCPolo1-20-21,172.19.213.54
eLANDCPolo1-22-23,172.19.213.55
eLANDCPolo1-3-4,172.19.213.41
eLANDCPolo1-5-6,172.19.213.42
eLANDCPolo1-7-8-9,172.19.213.43
JUN-HYC-AN01,10.140.10.35
JUN-LOY-AN01,10.140.10.50
JUN-LOY-DN01,10.140.10.49
JUN-PDI-DN01,10.140.10.39
JUN-SCL-DN01,10.140.10.38
JUN-SPC-AN01,10.140.10.51
JUN-TMB-AN01,10.140.10.34
JUN-TMB-DN01,10.140.10.33
LBY-CLO-DN01,10.140.9.38
LBY-CMO-AN01,10.140.9.36
LBY-CMO-DN01,10.140.9.35
LBY-LBY-AN01,10.140.9.40
LBY-LVT-AN01,10.140.9.34
LBY-LVT-DN01,10.140.9.33
LBY-LYL-DN01,10.140.9.37
LBY-PDI-DN01,10.140.9.39
LLB-CHA-AN01,10.253.14.122
LLB-CRG-AN01,10.140.9.111
LLB-CRG-DN01,10.140.9.110
LLB-ECT-AN01,10.140.9.101
LLB-ECT-DN01,10.140.9.106
LLB-HVZ-DN01,10.140.9.108
LLB-LEZ-AN01,10.140.9.102
LLB-LEZ-DN01,10.140.9.107
LLB-PDI-DN01,10.140.9.105
LLB-SSF-AN01,10.140.9.103
LLB-SSF-DN01,10.140.9.109
LLB-TRJ-AN01,10.140.9.99
LLB-TRJ-AN02,10.140.9.100
LLB-TRJ-CN01,10.140.9.97
LLB-TRJ-CN02,10.140.9.98
LoadBalancer-DMZ-01,192.168.192.5
LoadBalancer-INT-01,172.19.90.18
LRT-YRM-AN01,10.140.10.198
MIRAFLORES,10.120.14.213
MONTERRICO,10.120.14.212
nAccesoCorporativo1-ST01,172.19.202.1
nAccesoCorporativo2-ST01,172.19.202.2
nAGREGADORPolo1_1,10.235.192.100
nAGREGADORPolo1_2,10.235.192.101
